<<<<<<< HEAD
crsCode75642,semester87556,29999,
crsCode71023,semester20376,17905,
crsCode81177,semester28933,93458,
crsCode65242,semester94859,33171,
crsCode78303,semester2033,51145,
crsCode14637,semester23111,33363,
crsCode1755,semester68009,24650,
crsCode81494,semester74234,36671,
crsCode90361,semester20438,80601,
crsCode18353,semester26354,69234,
crsCode47808,semester25720,71674,
crsCode30946,semester49951,7386,
crsCode92247,semester16178,87966,
crsCode86925,semester44394,39541,
crsCode91700,semester89992,48821,
crsCode12120,semester35368,8120,
crsCode45201,semester65206,66324,
crsCode39287,semester33180,83172,
crsCode39677,semester57828,84944,
crsCode75004,semester57961,63267,
crsCode74339,semester71730,64536,
crsCode53906,semester15054,49972,
crsCode76433,semester37117,4957,
crsCode21343,semester84394,5957,
crsCode42120,semester9233,87608,
crsCode52324,semester72286,45384,
crsCode34396,semester97702,73349,
crsCode15660,semester1427,46973,
crsCode7869,semester32969,35710,
crsCode13214,semester22714,80454,
crsCode47022,semester34630,59769,
crsCode57283,semester86365,92575,
crsCode80239,semester37559,12700,
crsCode98052,semester25352,83188,
crsCode28449,semester31630,26051,
crsCode47014,semester13215,90301,
crsCode76171,semester71120,21773,
crsCode73760,semester77436,29462,
crsCode19669,semester63697,96102,
crsCode15522,semester72986,59773,
crsCode43992,semester10299,62765,
crsCode63504,semester83641,20213,
crsCode50549,semester38683,19081,
crsCode36464,semester2761,7311,
crsCode52380,semester68066,29749,
crsCode37533,semester25133,68556,
crsCode28051,semester98466,90089,
crsCode72161,semester26832,22068,
crsCode45165,semester5424,30270,
crsCode82981,semester31764,88886,
crsCode56971,semester29505,39476,
crsCode11500,semester10056,35447,
crsCode78718,semester5373,59999,
crsCode97550,semester61360,351,
crsCode57588,semester38027,45486,
crsCode22541,semester32077,4136,
crsCode61707,semester77709,95063,
crsCode53009,semester64715,30836,
crsCode84936,semester65412,87535,
crsCode48211,semester22669,41019,
crsCode4123,semester42623,4045,
crsCode72090,semester95027,509,
crsCode84890,semester8307,91293,
crsCode35596,semester76437,48484,
crsCode50340,semester46091,21991,
crsCode70203,semester45335,22278,
crsCode95074,semester34171,49208,
crsCode73121,semester35649,43377,
crsCode21929,semester90411,81678,
crsCode99808,semester46251,13896,
crsCode9266,semester52336,91624,
crsCode40677,semester87784,43536,
crsCode80813,semester38850,1367,
crsCode92313,semester33084,51864,
crsCode88679,semester68942,61707,
crsCode24060,semester84937,65890,
